to_date('22-03-2003', 'DD-MM-YYYY')
to_date('07-06-1952', 'DD-MM-YYYY')
to_date('25-02-2000', 'DD-MM-YYYY')
to_date('31-08-1966', 'DD-MM-YYYY')
to_date('28-02-1980', 'DD-MM-YYYY')
to_date('25-09-1972', 'DD-MM-YYYY')
to_date('03-12-1952', 'DD-MM-YYYY')
to_date('25-07-1968', 'DD-MM-YYYY')
to_date('05-06-1974', 'DD-MM-YYYY')
to_date('18-09-1995', 'DD-MM-YYYY')
to_date('13-04-2003', 'DD-MM-YYYY')
to_date('24-03-1967', 'DD-MM-YYYY')
to_date('19-03-1974', 'DD-MM-YYYY')
to_date('14-08-1995', 'DD-MM-YYYY')
to_date('15-05-1978', 'DD-MM-YYYY')
to_date('14-07-1994', 'DD-MM-YYYY')
to_date('30-11-1953', 'DD-MM-YYYY')
to_date('08-10-1996', 'DD-MM-YYYY')
to_date('14-08-2001', 'DD-MM-YYYY')
to_date('08-02-1956', 'DD-MM-YYYY')
to_date('04-03-1987', 'DD-MM-YYYY')
to_date('30-06-1985', 'DD-MM-YYYY')
to_date('12-08-1989', 'DD-MM-YYYY')
to_date('23-02-1988', 'DD-MM-YYYY')
to_date('01-04-1996', 'DD-MM-YYYY')
to_date('30-10-1992', 'DD-MM-YYYY')
to_date('07-03-1987', 'DD-MM-YYYY')
to_date('21-09-1963', 'DD-MM-YYYY')
to_date('22-10-1960', 'DD-MM-YYYY')
to_date('03-04-1978', 'DD-MM-YYYY')
to_date('25-02-2000', 'DD-MM-YYYY')
to_date('11-09-1957', 'DD-MM-YYYY')
to_date('01-12-1980', 'DD-MM-YYYY')
to_date('21-03-1983', 'DD-MM-YYYY')
to_date('05-02-1965', 'DD-MM-YYYY')
to_date('29-08-1962', 'DD-MM-YYYY')
to_date('12-03-1968', 'DD-MM-YYYY')
to_date('30-12-1985', 'DD-MM-YYYY')
to_date('16-02-1978', 'DD-MM-YYYY')
to_date('27-09-2004', 'DD-MM-YYYY')
to_date('30-06-1965', 'DD-MM-YYYY')
to_date('01-02-1989', 'DD-MM-YYYY')
to_date('04-12-1994', 'DD-MM-YYYY')
to_date('06-05-1955', 'DD-MM-YYYY')
to_date('07-02-1991', 'DD-MM-YYYY')
to_date('09-02-1950', 'DD-MM-YYYY')
to_date('26-10-1960', 'DD-MM-YYYY')
to_date('09-07-1972', 'DD-MM-YYYY')
to_date('22-07-1957', 'DD-MM-YYYY')
to_date('19-07-1958', 'DD-MM-YYYY')
to_date('19-06-1970', 'DD-MM-YYYY')
to_date('22-04-1991', 'DD-MM-YYYY')
to_date('02-01-1979', 'DD-MM-YYYY')
to_date('03-11-1980', 'DD-MM-YYYY')
to_date('20-09-2002', 'DD-MM-YYYY')
to_date('23-02-1950', 'DD-MM-YYYY')
to_date('30-09-1957', 'DD-MM-YYYY')
to_date('04-07-1951', 'DD-MM-YYYY')
to_date('27-08-1990', 'DD-MM-YYYY')
to_date('15-04-1996', 'DD-MM-YYYY')
to_date('23-04-1984', 'DD-MM-YYYY')
to_date('22-05-1994', 'DD-MM-YYYY')
to_date('29-11-1952', 'DD-MM-YYYY')
to_date('18-08-1997', 'DD-MM-YYYY')
to_date('17-01-1990', 'DD-MM-YYYY')
to_date('11-06-1966', 'DD-MM-YYYY')
to_date('04-01-1964', 'DD-MM-YYYY')
to_date('03-10-1963', 'DD-MM-YYYY')
to_date('18-05-1963', 'DD-MM-YYYY')
to_date('29-11-1954', 'DD-MM-YYYY')
to_date('15-03-1970', 'DD-MM-YYYY')
to_date('26-07-1995', 'DD-MM-YYYY')
to_date('25-03-1996', 'DD-MM-YYYY')
to_date('10-04-1966', 'DD-MM-YYYY')
to_date('21-08-1990', 'DD-MM-YYYY')
to_date('04-07-1955', 'DD-MM-YYYY')
to_date('23-03-1958', 'DD-MM-YYYY')
to_date('20-09-1971', 'DD-MM-YYYY')
to_date('03-12-1994', 'DD-MM-YYYY')
to_date('20-04-1968', 'DD-MM-YYYY')
to_date('21-11-1972', 'DD-MM-YYYY')
to_date('21-10-1981', 'DD-MM-YYYY')
to_date('08-05-1989', 'DD-MM-YYYY')
to_date('23-03-1993', 'DD-MM-YYYY')
to_date('09-07-1955', 'DD-MM-YYYY')
to_date('22-04-1982', 'DD-MM-YYYY')
to_date('18-02-1978', 'DD-MM-YYYY')
to_date('03-03-2000', 'DD-MM-YYYY')
to_date('24-11-1969', 'DD-MM-YYYY')
to_date('03-04-1982', 'DD-MM-YYYY')
to_date('16-07-1985', 'DD-MM-YYYY')
to_date('21-09-1985', 'DD-MM-YYYY')
to_date('08-11-1950', 'DD-MM-YYYY')
to_date('01-06-1983', 'DD-MM-YYYY')
to_date('29-11-1970', 'DD-MM-YYYY')
to_date('07-01-1980', 'DD-MM-YYYY')
to_date('29-10-1959', 'DD-MM-YYYY')
to_date('13-09-1985', 'DD-MM-YYYY')
to_date('08-05-1970', 'DD-MM-YYYY')
to_date('31-07-1992', 'DD-MM-YYYY')
to_date('22-08-2000', 'DD-MM-YYYY')
to_date('11-01-1970', 'DD-MM-YYYY')
to_date('29-11-1984', 'DD-MM-YYYY')
to_date('18-08-1950', 'DD-MM-YYYY')
to_date('16-02-1971', 'DD-MM-YYYY')
to_date('19-02-1988', 'DD-MM-YYYY')
to_date('12-12-1960', 'DD-MM-YYYY')
to_date('23-04-1973', 'DD-MM-YYYY')
to_date('22-09-1986', 'DD-MM-YYYY')
to_date('22-06-1991', 'DD-MM-YYYY')
to_date('10-10-1979', 'DD-MM-YYYY')
to_date('19-07-1981', 'DD-MM-YYYY')
to_date('04-03-1995', 'DD-MM-YYYY')
to_date('15-11-1955', 'DD-MM-YYYY')
to_date('23-07-1955', 'DD-MM-YYYY')
to_date('21-03-1973', 'DD-MM-YYYY')
to_date('15-04-1985', 'DD-MM-YYYY')
to_date('09-12-1985', 'DD-MM-YYYY')
to_date('20-12-1955', 'DD-MM-YYYY')
to_date('02-09-1980', 'DD-MM-YYYY')
to_date('07-07-1972', 'DD-MM-YYYY')
to_date('12-01-1983', 'DD-MM-YYYY')
to_date('10-08-1984', 'DD-MM-YYYY')
to_date('23-03-1977', 'DD-MM-YYYY')
